rank	score	repo	path	url	hits	source_file
66	0	leafo/lapis	lapis/util/encoding.lua	https://github.com/leafo/lapis/blob/d8a473247ae5883d92e1ce18a7322e1dd71c95ec/lapis/util/encoding.lua		11_openssl_hmac_final_lua.json
67	0	liuhua1307/lua-resty-plugin-jetbrains	src/main/resources/std/resty/openssl.lua	https://github.com/liuhua1307/lua-resty-plugin-jetbrains/blob/b58175381d475697012554c68757653daf31b84d/src/main/resources/std/resty/openssl.lua		11_openssl_hmac_final_lua.json
68	0	lukaszczerpak/akamai-g2o-lua	akamai-g2o.lua	https://github.com/lukaszczerpak/akamai-g2o-lua/blob/01a1179c7d388515e73cc05e26da8e987044dff7/akamai-g2o.lua		11_openssl_hmac_final_lua.json
69	0	maz-1/luajit-android	lua-openssl/src/lib/crypto.lua	https://github.com/maz-1/luajit-android/blob/4548c56dd122eecbf5f920c14ab310248ba4d967/lua-openssl/src/lib/crypto.lua		11_openssl_hmac_final_lua.json
70	0	mmdjiji/cgit	cgit/filters/email-libravatar.lua	https://github.com/mmdjiji/cgit/blob/ee684c3679aad062ebb9db111a355851986e9a2c/cgit/filters/email-libravatar.lua		12_openssl_digest_final_lua.json
71	0	moteus/ZipWriter	lua/ZipWriter/encrypt/aes/AesFileEncrypt.lua	https://github.com/moteus/ZipWriter/blob/482b61e2a105262e2b76d3728759918a15663b82/lua/ZipWriter/encrypt/aes/AesFileEncrypt.lua		11_openssl_hmac_final_lua.json
72	0	mpazdzioch/llamacpp-webui-glue	openresty/app/lib/resty/openssl/auxiliary/jwk.lua	https://github.com/mpazdzioch/llamacpp-webui-glue/blob/d8446b8861bf00e82ece061df0fe6baaa81be456/openresty/app/lib/resty/openssl/auxiliary/jwk.lua		12_openssl_digest_final_lua.json
73	0	nuprl/MultiPL-T	benchmarks/CryptoBench/lua-prompts/start_aes.lua	https://github.com/nuprl/MultiPL-T/blob/f4747e139e45106a54eb7993d8a6c42a0fc058d3/benchmarks/CryptoBench/lua-prompts/start_aes.lua		12_openssl_digest_final_lua.json
74	0	remjey/luaotp	src/otp.lua	https://github.com/remjey/luaotp/blob/e62bb3903580458318d70ca287390629b6632915/src/otp.lua		11_openssl_hmac_final_lua.json
75	0	riskprofiler/CloudFrontier	analyzers/submit/nmap-dir/scripts/nping-brute.nse	https://github.com/riskprofiler/CloudFrontier/blob/7ae2ae2d8a0e40f870b2509cab48e89808b8a39c/analyzers/submit/nmap-dir/scripts/nping-brute.nse		12_openssl_digest_final_lua.json
76	0	saucisson/ardoises	src/ardoises/jsonhttp/common.lua	https://github.com/saucisson/ardoises/blob/74f53bfb1d1286c81cbe8fcd6e55df6252789351/src/ardoises/jsonhttp/common.lua		11_openssl_hmac_final_lua.json
77	0	scmp-contributor/kong-jwt-custom	jwt_parser.lua	https://github.com/scmp-contributor/kong-jwt-custom/blob/e7c4f019b5b7265f18c4ca9fcc1ffabc6d0f6147/jwt_parser.lua		12_openssl_digest_final_lua.json
78	0	shinnok/Nmap	scripts/nping-brute.nse	https://github.com/shinnok/Nmap/blob/5d089a4c5918acf5cc9ccc46a7e3f586141a2a13/scripts/nping-brute.nse		13_require_openssl_hmac_final_lua.json
79	0	siudesu/BinaryArchive	sample/SnapshotEraser/m_binary_archive.lua	https://github.com/siudesu/BinaryArchive/blob/a52d5d106fbea3ac6b653661d1e7e58579bb7123/sample/SnapshotEraser/m_binary_archive.lua		12_openssl_digest_final_lua.json
80	0	torhve/lua-resty-letsencrypt	letsencrypt.lua	https://github.com/torhve/lua-resty-letsencrypt/blob/6becd2fb7202fc788f72f43ae6702b4e4df4d172/letsencrypt.lua		12_openssl_digest_final_lua.json
81	0	virgo-agent-toolkit/virgo-base-agent	util/upgrade.lua	https://github.com/virgo-agent-toolkit/virgo-base-agent/blob/fe5bc9ccc0405b1b7bef97fe67f25c23aa7592cd/util/upgrade.lua		12_openssl_digest_final_lua.json
82	0	woodsts/cgit	filters/email-gravatar.lua	https://github.com/woodsts/cgit/blob/044821677c774cd24f25f1818ea51d09cc64b006/filters/email-gravatar.lua		12_openssl_digest_final_lua.json
83	0	world100/skynet_hotfix	depends/lua-openssl/lib/crypto.lua	https://github.com/world100/skynet_hotfix/blob/23762c88fcbd8b5a35f3abd991da5c388e40d9a1/depends/lua-openssl/lib/crypto.lua		12_openssl_digest_final_lua.json
84	0	ygalsk/keyway-zig	lua/pgcrypto.lua	https://github.com/ygalsk/keyway-zig/blob/d4fe6d349bd5e18e51948f4d637350e25aad0d25/lua/pgcrypto.lua		11_openssl_hmac_final_lua.json
85	0	yizhu2000/suproxy	ssh2.lua	https://github.com/yizhu2000/suproxy/blob/ca2c369581f2b0cf3964da3e39521e5ad00f32f7/ssh2.lua		12_openssl_digest_final_lua.json
86	0	znuh/frivpn	frivpn_client.lua	https://github.com/znuh/frivpn/blob/858a3a3722ceb688b800ce43d7de5e75890da73a/frivpn_client.lua		11_openssl_hmac_final_lua.json
87	-7	world100/skynet_hotfix	depends/lua-openssl/ldoc/hmac.lua	https://github.com/world100/skynet_hotfix/blob/23762c88fcbd8b5a35f3abd991da5c388e40d9a1/depends/lua-openssl/ldoc/hmac.lua	assoc:hmac,low:doc	11_openssl_hmac_final_lua.json
88	-10	semyon422/mapping-contest	util/filehash.lua	https://github.com/semyon422/mapping-contest/blob/a3225460a1efab3ed00358a2bcd993d6035692d3/util/filehash.lua	low:test	12_openssl_digest_final_lua.json
